2025.09.17 22:41:03 INFO  Started: Metals version 1.6.2 in folders '/home/justino/Desktop/Spark-The-Definitive-Guide/practice' for client Visual Studio Code 1.103.2.
2025.09.17 22:41:04 INFO  no build target found for /home/justino/Desktop/Spark-The-Definitive-Guide/practice/02_retail_data.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.17 22:41:06 INFO  Running List(/home/justino/.local/share/coursier/bin/scala-cli, setup-ide, /home/justino/Desktop/Spark-The-Definitive-Guide/practice)
2025.09.17 22:41:06 INFO  Attempting to connect to the build server...
2025.09.17 22:41:06 INFO  Running BSP server List(/home/justino/.local/share/coursier/bin/.scala-cli.aux, bsp, --json-options, /home/justino/Desktop/Spark-The-Definitive-Guide/practice/.scala-build/ide-options-v2.json, --json-launcher-options, /home/justino/Desktop/Spark-The-Definitive-Guide/practice/.scala-build/ide-launcher-options.json, --envs-file, /home/justino/Desktop/Spark-The-Definitive-Guide/practice/.scala-build/ide-envs.json, /home/justino/Desktop/Spark-The-Definitive-Guide/practice)
2025.09.17 22:41:07 INFO  tracing is disabled for protocol BSP, to enable tracing of incoming and outgoing JSON messages create an empty file at /home/justino/Desktop/Spark-The-Definitive-Guide/practice/.metals/bsp.trace.json or /home/justino/.cache/metals/bsp.trace.json
2025.09.17 22:41:07 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-frontend_2.12/2.0.13/bloop-frontend_2.12-2.0.13.pom
2025.09.17 22:41:09 INFO  BSP server: Downloaded https://oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-frontend_2.12/2.0.13/bloop-frontend_2.12-2.0.13.pom
2025.09.17 22:41:09 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-frontend_2.12/2.0.13/bloop-frontend_2.12-2.0.13.pom.sha1
2025.09.17 22:41:09 INFO  BSP server: Downloaded https://oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-frontend_2.12/2.0.13/bloop-frontend_2.12-2.0.13.pom.sha1
2025.09.17 22:41:09 INFO  BSP server: Downloading https://s01.oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-frontend_2.12/2.0.13/bloop-frontend_2.12-2.0.13.pom
2025.09.17 22:41:10 INFO  BSP server: Downloaded https://s01.oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-frontend_2.12/2.0.13/bloop-frontend_2.12-2.0.13.pom
2025.09.17 22:41:10 INFO  BSP server: Downloading https://s01.oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-frontend_2.12/2.0.13/bloop-frontend_2.12-2.0.13.pom.sha1
2025.09.17 22:41:10 INFO  BSP server: Downloaded https://s01.oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-frontend_2.12/2.0.13/bloop-frontend_2.12-2.0.13.pom.sha1
2025.09.17 22:41:10 INFO  BSP server: Downloading https://central.sonatype.com/repository/maven-snapshots/ch/epfl/scala/bloop-frontend_2.12/2.0.13/bloop-frontend_2.12-2.0.13.pom
